date,day_of_week,dish_name,prepared_count,sold_count,waste_count,price_per_item,is_peak_day,staff_count
2014-01-01,Wednesday,rice_and_curry,45,20,25,324.24,False,6
2014-01-01,Wednesday,rolls,30,25,5,46.32,False,6
2014-01-01,Wednesday,kottu,49,44,5,370.55,False,6
2014-01-01,Wednesday,pittu,65,60,5,138.96,False,6
2014-01-02,Thursday,pittu,76,15,61,138.96,False,6
2014-01-02,Thursday,fried_rice,46,15,31,347.4,False,6
2014-01-02,Thursday,egg_hopper,22,13,9,55.58,False,6
2014-01-03,Friday,rice_and_curry,95,27,68,324.24,False,5
2014-01-03,Friday,fried_rice,32,26,6,347.4,False,5
2014-01-04,Saturday,fried_rice,42,19,23,382.13,True,8
2014-01-04,Saturday,vegetable_roti,31,20,11,50.95,True,8
2014-01-04,Saturday,watalappan,84,82,2,203.81,True,8
2014-01-05,Sunday,rolls,92,42,50,50.95,True,8
2014-01-05,Sunday,pittu,108,62,46,152.85,True,8
2014-01-05,Sunday,rice_and_curry,54,34,20,356.66,True,8
2014-01-06,Monday,rice_and_curry,93,75,18,324.24,False,7
2014-01-06,Monday,watalappan,77,61,16,185.28,False,7
2014-01-06,Monday,chicken_biriyani,47,46,1,416.87,False,7
2014-01-06,Monday,pittu,97,92,5,138.96,False,7
2014-01-06,Monday,fried_rice,105,61,44,347.4,False,7
2014-01-07,Tuesday,chicken_biriyani,27,24,3,416.87,False,8
2014-01-07,Tuesday,rice_and_curry,38,14,24,324.24,False,8
2014-01-07,Tuesday,fried_rice,50,43,7,347.4,False,8
2014-01-08,Wednesday,egg_hopper,96,29,67,55.58,False,7
2014-01-08,Wednesday,watalappan,112,83,29,185.28,False,7
2014-01-08,Wednesday,pittu,38,33,5,138.96,False,7
2014-01-09,Thursday,watalappan,20,16,4,185.28,False,7
2014-01-09,Thursday,pittu,89,74,15,138.96,False,7
2014-01-09,Thursday,chicken_biriyani,77,50,27,416.87,False,7
2014-01-09,Thursday,vegetable_roti,108,79,29,46.32,False,7
2014-01-10,Friday,rice_and_curry,72,43,29,324.24,False,8
2014-01-10,Friday,chicken_biriyani,72,46,26,416.87,False,8
2014-01-11,Saturday,kottu,109,69,40,407.61,True,13
2014-01-11,Saturday,rice_and_curry,77,20,57,356.66,True,13
2014-01-11,Saturday,vegetable_roti,89,55,34,50.95,True,13
2014-01-12,Sunday,chicken_biriyani,31,15,16,458.56,True,13
2014-01-12,Sunday,rice_and_curry,39,30,9,356.66,True,13
2014-01-13,Monday,fried_rice,101,78,23,347.4,False,6
2014-01-13,Monday,vegetable_roti,70,56,14,46.32,False,6
2014-01-13,Monday,pittu,22,17,5,138.96,False,6
2014-01-14,Tuesday,pittu,52,32,20,138.96,False,8
2014-01-14,Tuesday,fried_rice,77,33,44,347.4,False,8
2014-01-14,Tuesday,vegetable_roti,53,13,40,46.32,False,8
2014-01-15,Wednesday,rice_and_curry,44,14,30,324.24,False,6
2014-01-15,Wednesday,pittu,80,29,51,138.96,False,6
2014-01-15,Wednesday,watalappan,78,55,23,185.28,False,6
2014-01-15,Wednesday,fried_rice,120,77,43,347.4,False,6
2014-01-16,Thursday,watalappan,39,18,21,185.28,False,8
2014-01-16,Thursday,rolls,41,24,17,46.32,False,8
2014-01-16,Thursday,kottu,73,52,21,370.55,False,8
2014-01-16,Thursday,fried_rice,20,19,1,347.4,False,8
2014-01-16,Thursday,paratha_roti,110,20,90,46.32,False,8
2014-01-17,Friday,fried_rice,74,54,20,347.4,False,4
2014-01-17,Friday,rice_and_curry,119,84,35,324.24,False,4
2014-01-18,Saturday,chicken_biriyani,87,40,47,458.56,True,12
2014-01-18,Saturday,rolls,40,21,19,50.95,True,12
2014-01-19,Sunday,chicken_biriyani,71,16,55,458.56,True,14
2014-01-19,Sunday,fried_rice,73,26,47,382.13,True,14
2014-01-19,Sunday,egg_hopper,49,23,26,61.14,True,14
2014-01-19,Sunday,watalappan,68,41,27,203.81,True,14
2014-01-20,Monday,watalappan,57,45,12,185.28,False,6
2014-01-20,Monday,rice_and_curry,63,25,38,324.24,False,6
2014-01-20,Monday,chicken_biriyani,75,24,51,416.87,False,6
2014-01-21,Tuesday,paratha_roti,104,45,59,46.32,False,4
2014-01-21,Tuesday,fried_rice,99,19,80,347.4,False,4
2014-01-21,Tuesday,rolls,20,11,9,46.32,False,4
2014-01-21,Tuesday,rice_and_curry,115,63,52,324.24,False,4
2014-01-22,Wednesday,fried_rice,73,48,25,347.4,False,6
2014-01-22,Wednesday,chicken_biriyani,86,21,65,416.87,False,6
2014-01-22,Wednesday,egg_hopper,116,12,104,55.58,False,6
2014-01-22,Wednesday,watalappan,46,22,24,185.28,False,6
2014-01-23,Thursday,rolls,53,13,40,46.32,False,7
2014-01-23,Thursday,chicken_biriyani,82,53,29,416.87,False,7
2014-01-24,Friday,paratha_roti,76,75,1,46.32,False,4
2014-01-24,Friday,fried_rice,81,16,65,347.4,False,4
2014-01-25,Saturday,rolls,53,44,9,50.95,True,14
2014-01-25,Saturday,rice_and_curry,114,66,48,356.66,True,14
2014-01-26,Sunday,kottu,52,20,32,407.61,True,9
2014-01-26,Sunday,fried_rice,29,27,2,382.13,True,9
2014-01-26,Sunday,chicken_biriyani,69,53,16,458.56,True,9
2014-01-27,Monday,fried_rice,99,70,29,347.4,False,4
2014-01-27,Monday,kottu,98,47,51,370.55,False,4
2014-01-28,Tuesday,vegetable_roti,113,10,103,46.32,False,4
2014-01-28,Tuesday,chicken_biriyani,31,18,13,416.87,False,4
2014-01-28,Tuesday,kottu,53,40,13,370.55,False,4
2014-01-29,Wednesday,kottu,24,20,4,370.55,False,7
2014-01-29,Wednesday,fried_rice,85,43,42,347.4,False,7
2014-01-29,Wednesday,chicken_biriyani,111,97,14,416.87,False,7
2014-01-29,Wednesday,vegetable_roti,88,21,67,46.32,False,7
2014-01-30,Thursday,kottu,51,42,9,370.55,False,4
2014-01-30,Thursday,rolls,73,56,17,46.32,False,4
2014-01-30,Thursday,pittu,26,26,0,138.96,False,4
2014-01-31,Friday,paratha_roti,50,26,24,46.32,False,4
2014-01-31,Friday,fried_rice,24,23,1,347.4,False,4
2014-02-01,Saturday,fried_rice,71,34,37,382.13,True,15
2014-02-01,Saturday,rice_and_curry,79,29,50,356.66,True,15
2014-02-01,Saturday,pittu,23,18,5,152.85,True,15
2014-02-02,Sunday,chicken_biriyani,37,21,16,458.56,True,8
2014-02-02,Sunday,pittu,86,84,2,152.85,True,8
2014-02-02,Sunday,paratha_roti,21,18,3,50.95,True,8
2014-02-02,Sunday,vegetable_roti,109,12,97,50.95,True,8
2014-02-03,Monday,fried_rice,78,42,36,347.4,False,4
2014-02-03,Monday,vegetable_roti,52,43,9,46.32,False,4
2014-02-03,Monday,paratha_roti,94,19,75,46.32,False,4
2014-02-04,Tuesday,fried_rice,79,62,17,347.4,False,8
2014-02-05,Wednesday,egg_hopper,56,54,2,55.58,False,5
2014-02-05,Wednesday,rolls,41,10,31,46.32,False,5
2014-02-05,Wednesday,rice_and_curry,21,10,11,324.24,False,5
2014-02-06,Thursday,watalappan,30,25,5,185.28,False,4
2014-02-06,Thursday,egg_hopper,43,40,3,55.58,False,4
2014-02-06,Thursday,pittu,90,84,6,138.96,False,4
2014-02-07,Friday,chicken_biriyani,100,85,15,416.87,False,4
2014-02-07,Friday,kottu,75,23,52,370.55,False,4
2014-02-07,Friday,vegetable_roti,45,42,3,46.32,False,4
2014-02-08,Saturday,kottu,30,28,2,407.61,True,14
2014-02-08,Saturday,egg_hopper,55,50,5,61.14,True,14
2014-02-08,Saturday,pittu,101,88,13,152.85,True,14
2014-02-09,Sunday,egg_hopper,119,28,91,61.14,True,8
2014-02-09,Sunday,fried_rice,113,97,16,382.13,True,8
2014-02-09,Sunday,watalappan,24,20,4,203.81,True,8
2014-02-09,Sunday,kottu,32,20,12,407.61,True,8
2014-02-09,Sunday,pittu,112,75,37,152.85,True,8
2014-02-10,Monday,paratha_roti,98,81,17,46.32,False,5
2014-02-10,Monday,kottu,107,28,79,370.55,False,5
2014-02-10,Monday,watalappan,60,14,46,185.28,False,5
2014-02-10,Monday,vegetable_roti,34,30,4,46.32,False,5
2014-02-11,Tuesday,watalappan,53,52,1,185.28,False,8
2014-02-11,Tuesday,pittu,25,20,5,138.96,False,8
2014-02-11,Tuesday,egg_hopper,39,19,20,55.58,False,8
2014-02-11,Tuesday,rice_and_curry,86,63,23,324.24,False,8
2014-02-11,Tuesday,kottu,110,69,41,370.55,False,8
2014-02-12,Wednesday,paratha_roti,20,14,6,46.32,False,5
2014-02-12,Wednesday,vegetable_roti,66,41,25,46.32,False,5
2014-02-12,Wednesday,pittu,35,16,19,138.96,False,5
2014-02-12,Wednesday,rolls,85,39,46,46.32,False,5
2014-02-12,Wednesday,fried_rice,95,11,84,347.4,False,5
2014-02-13,Thursday,chicken_biriyani,82,40,42,416.87,False,7
2014-02-13,Thursday,rice_and_curry,62,45,17,324.24,False,7
2014-02-13,Thursday,kottu,111,64,47,370.55,False,7
2014-02-13,Thursday,vegetable_roti,81,55,26,46.32,False,7
2014-02-14,Friday,pittu,73,37,36,152.85,True,9
2014-02-14,Friday,rolls,76,26,50,50.95,True,9
2014-02-14,Friday,paratha_roti,61,40,21,50.95,True,9
2014-02-15,Saturday,rolls,87,45,42,50.95,True,14
2014-02-15,Saturday,rice_and_curry,106,105,1,356.66,True,14
2014-02-15,Saturday,kottu,68,10,58,407.61,True,14
2014-02-15,Saturday,egg_hopper,66,31,35,61.14,True,14
2014-02-16,Sunday,paratha_roti,50,25,25,50.95,True,13
2014-02-16,Sunday,rolls,98,67,31,50.95,True,13
2014-02-17,Monday,fried_rice,93,12,81,347.4,False,8
2014-02-17,Monday,watalappan,88,83,5,185.28,False,8
2014-02-17,Monday,rice_and_curry,35,26,9,324.24,False,8
2014-02-17,Monday,paratha_roti,88,19,69,46.32,False,8
2014-02-18,Tuesday,rolls,50,19,31,46.32,False,8
2014-02-18,Tuesday,watalappan,89,81,8,185.28,False,8
2014-02-18,Tuesday,rice_and_curry,46,23,23,324.24,False,8
2014-02-18,Tuesday,vegetable_roti,27,15,12,46.32,False,8
2014-02-19,Wednesday,vegetable_roti,44,33,11,46.32,False,6
